no,MOLENAME,Plate location,cas,"Weight, mg",Bioactivity,Formula,MolWt,Status,Reference
459,Indometacin,6-F10,53-86-1,"125µl,10mMol/L","Indomethacin is a non-steroidal antiinflammatory agent (NSAIA) with antiinflammatory, analgesic and antipyretic activity. Its pharmacological effect is thought to be mediated through inhibition of the enzyme cyclooxygenase (COX), the enzyme responsible for catalyzes the rate-limiting step in prostaglandin synthesis via the arachidonic acid pathway.",C19H16ClNO4,357.79,"USP, INN, BAN, JAN","1. Mitchell JA, et al. Proc Natl Acad Sci U S A. 1993, 90(24), 11693-11697."
460,Sulindac,6-F11,38194-50-2,"125µl,10mMol/L","Sulindac is a nonsteroidal anti-inflammatory agent (NSAIA) of the arylalkanoic acid class that is marketed in the U.S. by Merck as Clinoril. Like other NSAIAs, it may be used in the treatment of acute or chronic inflammatory conditions. Sulindac is a prodrug, derived from sulfinylindene, that is converted in vivo to an active sulfide compound by liver enzymes. The sulfide metabolite then undergoes enterohepatic circulation; it is excreted in the bile and then reabsorbed from the intestine. This is thought to help maintain constant blood levels with reduced gastrointestinal side effects. Some studies have shown sulindac to be relatively less irritating to the stomach than other NSAIA’s except for drugs of the cyclooxygenase-2 (COX-2) inhibitor class. The exact mechanism of its NSAIA properties is unknown, but it is thought to act on enzymes COX-1 and COX-2, inhibiting prostaglandin synthesis.",C20H17FO3S,356.41,"USP, INN, BAN, JAN","1. Kamath-Rayne BD, et al. Am J Obstet Gynecol. 2015 Jan; 212(1):96.e1-7. "
461,Pramoxine HCl,6-G2,637-58-1,"125µl,10mMol/L",Pramoxine is a topical local anesthetic that has been shown to have antipruritic properties.,C17H27NO37 HCl,329.86,"USAN, INN, BAN","1. Ramadan NK, Merey HA. Acta Chim Slov. 2012 Dec; 59(4):870-8. "
462,Berberine hydrochloride,6-G3,633-65-8,"125µl,10mMol/L","An alkaloid from Hydrastis canadensis L., Berberidaceae. It is also found in many other plants. It is relatively toxic parenterally, but has been used orally for various parasitic and fungal infections and as antidiarrheal. ",C20H18ClNO4,371.8,JAN,"1. Zhang Y, et al. J Pharmacol Exp Ther. 2014 Jun; 349(3):417-26."
463,Loxoprofen,6-G4,68767-14-6,"125µl,10mMol/L",Loxoprofen is a non-steroidal anti-inflammatory drug.,C15H18O3,246.3,"INN, JAN","1. Fukiya Y, et al. Biomed Res. 2014; 35(1):17-23. "
464,Carbetapentane citrate,6-G5,23142-01-0,"125µl,10mMol/L",Pentoxyverine Citrate is an antitussive (cough suppressant) commonly used for cough associated with illnesses like common cold.,C20H31NO37C6H8O7,525.59,"NF-XIII, INN, BAN","1. Lin MQ, et al. Nan Fang Yi Ke Da Xue Xue Bao. 2010 Jul; 30(7):1621-3. "
465,Ellagic acid,6-G6,476-66-4,"125µl,10mMol/L",A fused four ring compound occurring free or combined in galls. Isolated from the kino of Eucalyptus maculata Hook and E. Hemipholia F. Muell. Activates Factor XII of the blood clotting system which also causes kinin release; used in research and as a dye.  [,C14H6O8,302.19,INN,"1. Sekiguchi Y, et al.  Bioorg Med Chem Lett. 2009 Jun 1;19(11):2920-3. "
466,Celecoxib,6-G7,169590-42-5,"125µl,10mMol/L","Celecoxib is a non-steroidal anti-inflammatory drug (NSAID) used in the treatment of osteoarthritis, rheumatoid arthritis, acute pain, painful menstruation and menstrual symptoms, and to reduce numbers of colon and rectum polyps in patients with familial adenomatous polyposis. It is marketed by Pfizer under the brand name Celebrex. In some countries, it is branded Celebra. Celecoxib is available by prescription in capsule form. ",C17H14F3N3O2S,381.37,"USAN, INN, BAN","1. Sigthorsson G, et al. Gastroenterology. 2002 Jun; 122(7):1913-23. "
467,Sildenafil citrate,6-G8,171599-83-0,"125µl,10mMol/L","Sildenafil, a selective inhibitor of cyclic guanosine monophosphate (cGMP)-specific phosphodiesterase type 5 (PDE5), is a well-tolerated and highly effective treatment for erectile dysfunction.",C28H38N6O11S,666.7,USP,"1. Nehra A, et al. World J Urol, 2001, 19(1), 40-45."
468,Xylocaine,6-G9,137-58-6,"125µl,10mMol/L",A local anesthetic and cardiac depressant used as an antiarrhythmia agent. Its actions are more intense and its effects more prolonged than those of procaine but its duration of action is shorter than that of bupivacaine or prilocaine. ,C14H22N2O,234.34,"USP-XX, INN, BAN","1. Sheets PL, et al. J Physiol. 2007 Jun 15;581(Pt 3):1019-31. "
469,"(+,-)-Octopamine HCl",6-G10,770-05-8,"125µl,10mMol/L","Octopamine (OA), a biogenic monoamine structurally related to noradrenaline, acts as a neurohormone, a neuromodulator and a neurotransmitter in invertebrates.",C8H12CINO2,189.64,INN,"1. Roeder T, et al. Prog Neurobiol, 1999, 59(5), 533-561."
470,Nefopam HCl,6-G11,23327-57-3,"125µl,10mMol/L","Nefopam HCl is a centrally-acting but non-opioid analgesic drug by blocking voltage-gated sodium channel and inhibition of serotonin, dopamine and noradrenaline reuptake.",C17H20ClNO,289.8,"USAN, INN, BAN","1. M. S. Evans1, et al, lBr J Anaesth, 2008, 101(5), 610-617."
471,Decoquinate,6-H2,18507-89-6,"125µl,10mMol/L",A coccidiostat for poultry.,C24H35NO5,417.54,"USP, INN, BAN","1. The EFSA Journal, 2003, 17, 1-40."
472,Venlafaxine HCl,6-H3,99300-78-4,"125µl,10mMol/L","Venlafaxine is an arylalkanolamine serotonin-norepinephrine reuptake inhibitor (SNRI), used to treat major depressive disorder (MDD), generalised anxiety disorder (GAD), panic disorder and social phobia.",C17H28CLNO2,313.86,"USAN, INN, BAN","1. Ball SE, et al. Br J Clin Pharmacol, 1997, 43(6), 619-626."
473,Arbutin,6-H4,497-76-7,"125µl,10mMol/L","Arbutin is glucosylated hydroquinone, and may carry similar cancer risks, although there are also claims that arbutin reduces cancer risk. It prevents the formation of melanin.",C12H16O7,272.25,,"1. O'Donoghue, J L. Journal of Cosmetic Dermatology, 2006, 5(3): 196–203. "
474,L-Hyoscyamine,6-H5,101-31-5,"125µl,10mMol/L",Hyoscyamine is an AChR inhibitor with IC50 of 7.5 nM.,C17H23NO3,289.38,,"1. Schmeller T, et al. Pharmazie, 1995, 50(7), 493-495."
475,Erythromycin ethylsuccinate,6-H6,1264-62-6,"125µl,10mMol/L","Erythromycin Ethylsuccinate, an oral macrolide antibiotic produced by Streptomyces erythreus, reversibly binds to the 50S ribosome of bacteria, and inhibits protein synthesis.",C43H75NO16,862.05,"USP, JAN","1. Halling SM, Jensen AE. BMC Microbiol. 2006 Oct 2;6:84."
476,Sertraline HCl,6-H7,79559-97-0,"125µl,10mMol/L",Sertraline hydrochloride is an antidepressant of the selective serotonin reuptake inhibitor (SSRI) class.,C17H17CI2N.HCl,342.69,"USAN, INN, BAN","1. Koe BK, et al. J Pharmacol Exp Ther, 1983, 226(3), 686-700."
477,Sotalol HCl,6-H8,959-24-0,"125µl,10mMol/L",An adrenergic beta-antagonist that is used in the treatment of life-threatening arrhythmias.  ,C12H21ClN2O3S,308.82,USP,"1. Lowe MD, et al. Br J Pharmacol. 2002 Jan;135(2):451-61."
478,Deracoxib,6-H9,169590-41-4,"125µl,10mMol/L","Deracoxib, a selective cyclooxygenase-2 inhibitor, is a non-narcotic, non-steroidal anti-inflammatory drug (NSAID).",C17H14F3N3O3S,397.37,"USAN, INN","1. Ustün Alkan F, et al. ScientificWorldJournal. 2012;2012:976740. "
479,Deflazacort,6-H10,14484-47-0,"125µl,10mMol/L",Deflazacort is a glucocorticoid used as an anti-inflammatory and immunosuppressant.It suppresses the immune system and so it can be used to treat autoimmune diseases. Deflazacort can help to prevent and to treat the rejection of transplanted organs. It can also be used in the treatment of certain types of cancers. ,C25H31NO6,441.53,"USAN, INN, BAN","1. Walter MC, et al. Orphanet J Rare Dis. 2013 Feb 14;8:26. "
480,Irinotecan HCl Trihydrate,6-H11,136572-09-3,"125µl,10mMol/L",Irinotecan prevents DNA from unwinding by inhibition of topoisomerase 1.,C33H45ClN4O9,677.18,"USAN, INN, BAN","1. Tsuruo T, et al. Cancer Chemother Pharmacol. 1988;21(1):71-4."
481,Metoprolol tartrate,7-A2,56392-17-7,"125µl,10mMol/L",Metoprolol Tartrate is a cardioselective ß-adrenergic receptor blocker.,2(C15H26NO3)(C4H6O8),684.81,"USP, JAN","1. Schafer M, et al. Am J Physiol Cell Physiol. 2000 Aug;279(2):C495-503."
482,Finasteride,7-A3,98319-26-7,"125µl,10mMol/L",An orally active testosterone 5-alpha-reductase inhibitor. It is used as a surgical alternative for treatment of benign prostatic hyperplasia. ,C23H36N2O2,372.55,"USP, INN, BAN","1. Azzolina B, et al. J Steroid Biochem Mol Biol, 1997, 61(1-2), 55-64."
483,Flutamide,7-A4,13311-84-7,"125µl,10mMol/L","Flutamide is an antiandrogen drug, with its active metablolite binding at androgen receptor.",C11H11F3N2O3,276.21,"USP, INN, BAN","1. Chang HC, et al. Proc Natl Acad Sci U S A. 1999 Sep 28;96(20):11173-7. "
484,Timolol Maleate,7-A5,26921-17-5,"125µl,10mMol/L","A beta-adrenergic antagonist similar in action to propranolol. The levo-isomer is the more active. Timolol has been proposed as an antihypertensive, antiarrhythmic, antiangina, and antiglaucoma agent. It is also used in the treatment of migraine disorders and tremor. ",C17H28N4O7S,432.5,"USP, JAN","1. Hall RA, et al. Arch Int Pharmacodyn Ther, 1975, 213(2), 251-263."
485,Abbolactone,7-A6,19000,"125µl,10mMol/L","A potassium sparing diuretic that acts by antagonism of aldosterone in the distal renal tubules. It is used mainly in the treatment of refractory edema in patients with congestive heart failure, nephrotic syndrome, or hepatic cirrhosis. Its effects on the endocrine system are utilized in the treatments of hirsutism and acne but they can lead to adverse effects. (From Martindale, The Extra Pharmacopoeia, 30th ed, p827). ",C24H32O4S,416.57,"USP, INN, BAN, JAN","1. Ye P, et al. Horm Metab Res. 2009 Jan;41(1):35-9. "
486,Zileuton,7-A7,111406-87-2,"125µl,10mMol/L","Leukotrienes are substances that induce numerous biological effects including augmentation of neutrophil and eosinophil migration, neutrophil and monocyte aggregation, leukocyte adhesion, increased capillary permeability, and smooth muscle contraction. These effects contribute to inflammation, edema, mucus secretion, and bronchoconstriction in the airways of asthmatic patients. Zileuton relieves such symptoms through its selective inhibition of 5-lipoxygenase, the enzyme that catalyzes the formation of leukotrienes from arachidonic acid. Specifically, it inhibits leukotriene LTB4, LTC4, LTD4, and LTE4 formation. Both the R(+) and S(-) enantiomers are pharmacologically active as 5-lipoxygenase inhibitors in in vitro systems. The immediate release tablet of Zileuton has been withdrawn from the US market. ",C11H12N2O2S,236.29,"USP, INN, BAN","1. Rossi A1, et al. Br J Pharmacol, 2010, 161(3), 555-570."
487,Progesterone,7-A8,57-83-0,"125µl,10mMol/L","Progesterone is a critical hormone for the maintenance of pregnancy, menstrual cycle,  endometrium and functions with its receptor",C21H30O2,314.47,"USP, INN, BAN, JAN","1.Boonyaratanakornkit V, et al. Mol Endocrinol. 2007 Feb;21(2):359-75. "
488,Cytisine,7-A9,485-35-8,"125µl,10mMol/L","Cytisine is an alkaloid that is found naturally in several plant genera such as Laburnum and Cytisus of the family Fabaceae. Recent studies have shown it to be a more effective and significantly more affordable smoking cessation treatment than nicotine replacement therapy. Also known as baptitoxine or sophorine, cytisine has been used as a smoking cessation treatment since 1964, and is relatively unknown in regions outside of central and Eastern Europe. Cytisine is a partial nicotinic acetylcholine agonist with a half-life of 4.8 hours. Recent Phase III clinical trials using Tabex (a brand of Cytisine marketed by Sopharma AD) have shown similar efficacy to varenicline, but at a fraction of the cost. ",C11H14N2O,190.25,INN,"1. Walker N, et al. N Engl J Med. 2014 Dec 18;371(25):2353-62."
489,Doxofylline,7-A10,69975-86-6,"125µl,10mMol/L",Doxofylline is a phosphodiesterase inhibitor and a xanthine derivative drug for asthma.,C11H14N4O4,266.26,"USAN, INN","1. Shukla D, et al. Expert Opin Pharmacother, 2009, 10(14), 2343-2356."
490,Azilsartan kaMedoxoMil,7-A11,863031-24-7,"125µl,10mMol/L","Azilsartan medoxomil(TAK 491) is an orally administered angiotensin II receptor type 1 antagonist with IC50 of 0.62 nM, which used in the treatment of adults with essential hypertension.",C30H23N4O8.K,606.62,"USAN, INN","1. Kawaguchi N, et al. Xenobiotica. 2013 Feb;43(2):182-92. "
491,Chlorpropamide,7-B2,94-20-2,"125µl,10mMol/L","Chlorpropamide is a sulfonylurea class drug for type 2 diabetes mellitus.
",C10H13ClN2O3S,276.74,"USP, INN, BAN, JAN","1. Kichanov SE, et al. J Pharm Sci. 2015 Jan;104(1):81-6. "
492,Ethyl vanillin,7-B3,121-32-4,"125µl,10mMol/L","As a flavorant, ethylvanillin is about three times as potent as vanillin and is used in the production of chocolate.",C9H10O3,166.17,NF,"1. Cocinero EJ, et al. Phys Chem Chem Phys. 2010 Oct 21;12(39):12486-93. "
493,Dimethyl fumarate,7-B4,624-49-7,"125µl,10mMol/L",Dimethyl fumarate is an anti-inflammatory. It is indicated for multiple sclerosis patients with relapsing forms and is also being investigated for the treatment of psoriasis. The mechanism of action of dimethyl fumarate in multiple sclerosis is not well understood. It is thought to involve dimethyl fumarate degradation to its active metabolite monomethyl fumarate (MMF) then MMF up-regulates the Nuclear factor (erythroid-derived 2)-like 2 (Nrf2) pathway that is activated in response to oxidative stress. Dimethyl fumarate is marketed under the brand name Tecfidera.  ,C6H8O4,144.13,USAN,"1. Oh CJ, et al. PLoS One. 2012;7(10):e45870. "
494,Tyrosine,7-B5,60-18-4,"125µl,10mMol/L",A non-essential amino acid. In animals it is synthesized from PHENYLALANINE. It is also the precursor of EPINEPHRINE; THYROID HORMONES; and melanin. ,C9H11NO3,181.19,USP,"1. Dong S, et al. Blood. 2007 Jul 1;110(1):360-9. "
495,Tetramisole HCl,7-B6,5086-74-8,"125µl,10mMol/L",Tetramisole is a mixture of dextro- and levo isomers used as an anthelmintic.,C11H12N2S.HCl,240.75,"USAN, INN, BAN","1. Eyre P, et al. J Pharm Pharmacol, 1970, 22(1), 26-36.
"
496,Aminothiazole,7-B7,96-50-4,"125µl,10mMol/L",Aminothiazole can be used as a thyroid inhibitor and it has antibacterial activity.,C3H4N2S,100.14,INN,"1. Edwards JA, et al. Antimicrob Agents Chemother, 2013."
497,Creatinine,7-B8,60-27-5,"125µl,10mMol/L","Creatinine is a break-down product of creatine phosphate in muscle, and is usually produced at a fairly constant rate by the body.",C4H7N3O,113.12,NF,"1. Allen PJ, et al. Neurosci Biobehav Rev, 2012, 36(5), 1442-1462.
"
498,Lauroseptol,7-B9,57-09-0,"125µl,10mMol/L","Cetrimonium Bromide is a known component of the broad-spectrum antiseptic cetrimide, which is a mixture of different quaternary ammonium salts.",C19H42BrN,364.46,"NF, INN, BAN","1. Ito E, et al. Mol Pharmacol, 2009, 76(5), 969-983."
499,Sasapyrine,7-B10,552-94-3,"125µl,10mMol/L","Salsalate is a nonsteroidal anti-inflammatory agent for oral administration. Salsalate's mode of action as an anti-inflammatory and antirheumatic agent may be due to inhibition of synthesis and release of prostaglandins. The usefulness of salicylic acid, the active in vivo product of salsalate, in the treatment of arthritic disorders has been established. In contrast to aspirin, salsalate causes no greater fecal gastrointestinal blood loss than placebo. Salsalate is readily soluble in the small intestine where it is partially hydrolyzed to two molecules of salicylic acid. A significant portion of the parent compound is absorbed unchanged and undergoes rapid esterase hydrolysis in the body. The parent compound has an elimination half-life of about 1 hour. Salicylic acid (the active metabolite) biotransformation is saturated at anti-inflammatory doses of salsalate. Such capacity limited biotransformation results in an increase in the half-life of salicylic acid from 3.5 to 16 or more hours.  ",C14H10O5,258.23,"USP, INN, BAN","1. Stichtenoth DO, et al. Med Klin (Munich). 1998 Jul 15;93(7):407-15."
500,Oxybenzone,7-B11,131-57-7,"125µl,10mMol/L",Oxybenzone is an organic compound used in sunscreens. It is a derivative of benzophenone. It forms colorless crystals that are readily soluble in most organic solvents. It is used as an ingredient in sunscreen and other cosmetics because it absorbs UV-A ultraviolet rays. ,C14H12O3,228.24,"USP, INN","1. Gonzalez H, et al. Br J Dermatol. 2006 Feb;154(2):337-40."
